Dog,Treatment,Rate
1,HA,426
1,LA,609
1,HP,556
1,LP,600
2,HA,253
2,LA,236
2,HP,392
2,LP,395
3,HA,359
3,LA,433
3,HP,349
3,LP,357
4,HA,432
4,LA,431
4,HP,522
4,LP,600
5,HA,405
5,LA,426
5,HP,513
5,LP,513
6,HA,324
6,LA,438
6,HP,507
6,LP,539
7,HA,310
7,LA,312
7,HP,410
7,LP,456
8,HA,326
8,LA,326
8,HP,350
8,LP,504
9,HA,375
9,LA,447
9,HP,547
9,LP,548
10,HA,286
10,LA,286
10,HP,403
10,LP,422
11,HA,349
11,LA,382
11,HP,473
11,LP,497
12,HA,429
12,LA,410
12,HP,488
12,LP,547
13,HA,348
13,LA,377
13,HP,447
13,LP,514
14,HA,412
14,LA,473
14,HP,472
14,LP,446
15,HA,347
15,LA,326
15,HP,455
15,LP,468
16,HA,434
16,LA,458
16,HP,637
16,LP,524
17,HA,364
17,LA,367
17,HP,432
17,LP,469
18,HA,420
18,LA,395
18,HP,508
18,LP,531
19,HA,397
19,LA,556
19,HP,645
19,LP,625
